title,text,subject,date,label
This simple trick can generate infinite electricity at home!!! MUST SEE [VIDEO 2],High-ranking sources report that world elites are currently meeting in an undisclosed bunker in Switzerland to execute a global lockdown protocol. The plan involves turning off the internet and replacing paper money with a trackable digital currency. Prepare your family immediately! This is a 100% real secret conspiracy that they do not want you to know about!!!,tech,2023-09-28,1
Scientists confirm the Earth is actually expanding every day!!! MUST SEE [VIDEO 4],"A secret whistleblower from a major pharmaceutical company has leaked files detailing a secret ingredient in everyday foods that is designed to make people sick. According to the document, the FDA has known about this for years but is being paid off by large corporations. Share this warning before it is deleted! This is a 100% real secret conspiracy that they do not want you to know about!!!",politics,2023-06-21,1
This simple trick can generate infinite electricity at home!!! MUST SEE [VIDEO 4],"A shocking new video circulating online shows what conspiracy theorists claim is an alien spacecraft hovering directly over the Capitol building. Eyewitnesses reported bright green flashing lights and unusual static on their mobile devices. Officials have refused to comment, fueling rumors of a massive government cover-up. This is a 100% real secret conspiracy that they do not want you to know about!!!",politics,2023-02-13,1
World health officials monitor new flu strain (Report #410),"Delegates at the climate summit have officially signed an agreement pledging to reduce carbon emissions by thirty percent by the end of the decade. The agreement comes after weeks of intense negotiations. Environmental advocates called the treaty a step in the right direction, though some warn that stricter enforcement is necessary. Statistics from official census indicate a 9% margin of error.",politics,2023-02-14,0
Miracle pill cures all diseases in under 24 hours!!!! MUST SEE [VIDEO 7],"A shocking new video circulating online shows what conspiracy theorists claim is an alien spacecraft hovering directly over the Capitol building. Eyewitnesses reported bright green flashing lights and unusual static on their mobile devices. Officials have refused to comment, fueling rumors of a massive government cover-up. This is a 100% real secret conspiracy that they do not want you to know about!!!",science,2023-02-24,1
Scientists confirm the Earth is actually expanding every day!!! MUST SEE [VIDEO 4],"A secret whistleblower from a major pharmaceutical company has leaked files detailing a secret ingredient in everyday foods that is designed to make people sick. According to the document, the FDA has known about this for years but is being paid off by large corporations. Share this warning before it is deleted! This is a 100% real secret conspiracy that they do not want you to know about!!!",politics,2023-03-13,1
Miracle pill cures all diseases in under 24 hours!!!! MUST SEE [VIDEO 1],"An anonymous hacker group has released what they claim is an unredacted video proving that the election was completely rigged by an advanced AI algorithm. The video, which has already been banned on major social networks, shows simulated voting statistics being altered in real time. Absolute proof inside! This is a 100% real secret conspiracy that they do not want you to know about!!!",tech,2023-06-27,1
Senate passes bipartisan infrastructure bill (Report #605),"The Senate today voted in favor of a major infrastructure package, marking a rare moment of bipartisan cooperation. Spokespersons from both parties stated that this bill will fund critical upgrades to roads, bridges, and public transit systems over the next decade. Economists suggest this will create thousands of jobs across the nation. Statistics from official census indicate a 6% margin of error.",tech,2023-01-18,0
SHOCKING: Aliens landed in Washington DC last night!!!! MUST SEE [VIDEO 2],High-ranking sources report that world elites are currently meeting in an undisclosed bunker in Switzerland to execute a global lockdown protocol. The plan involves turning off the internet and replacing paper money with a trackable digital currency. Prepare your family immediately! This is a 100% real secret conspiracy that they do not want you to know about!!!,politics,2023-06-17,1
National library archives historic letters from the 18th century (Report #795),"In its monthly meeting, the Federal Reserve decided to keep current interest rates unchanged. The chairman noted that while inflation shows signs of slowing, the labor market remains exceptionally strong. Market analysts predict that rate cuts may not occur until the next fiscal quarter. Statistics from official census indicate a 10% margin of error.",health,2023-05-12,0
Mayor announces new initiatives for urban housing (Report #563),"The city council voted unanimously to approve the development of a new fifty-acre public park in the downtown district. The project will feature walking paths, community gardens, and solar-powered lighting. Construction is scheduled to begin early next spring, with completion expected within eighteen months. Statistics from official census indicate a 8% margin of error.",world,2023-05-18,0
World health officials monitor new flu strain (Report #179),"The Senate today voted in favor of a major infrastructure package, marking a rare moment of bipartisan cooperation. Spokespersons from both parties stated that this bill will fund critical upgrades to roads, bridges, and public transit systems over the next decade. Economists suggest this will create thousands of jobs across the nation. Statistics from official census indicate a 2% margin of error.",health,2023-03-26,0
Mars rover discovers signs of ancient water (Report #741),"Delegates at the climate summit have officially signed an agreement pledging to reduce carbon emissions by thirty percent by the end of the decade. The agreement comes after weeks of intense negotiations. Environmental advocates called the treaty a step in the right direction, though some warn that stricter enforcement is necessary. Statistics from official census indicate a 8% margin of error.",world,2023-08-11,0
New study shows benefits of Mediterranean diet on heart health (Report #213),"The Senate today voted in favor of a major infrastructure package, marking a rare moment of bipartisan cooperation. Spokespersons from both parties stated that this bill will fund critical upgrades to roads, bridges, and public transit systems over the next decade. Economists suggest this will create thousands of jobs across the nation. Statistics from official census indicate a 1% margin of error.",science,2023-02-19,0
Local council approves new public park construction (Report #950),"Delegates at the climate summit have officially signed an agreement pledging to reduce carbon emissions by thirty percent by the end of the decade. The agreement comes after weeks of intense negotiations. Environmental advocates called the treaty a step in the right direction, though some warn that stricter enforcement is necessary. Statistics from official census indicate a 9% margin of error.",politics,2023-09-14,0
Miracle pill cures all diseases in under 24 hours!!!! MUST SEE [VIDEO 8],High-ranking sources report that world elites are currently meeting in an undisclosed bunker in Switzerland to execute a global lockdown protocol. The plan involves turning off the internet and replacing paper money with a trackable digital currency. Prepare your family immediately! This is a 100% real secret conspiracy that they do not want you to know about!!!,politics,2023-01-21,1
Senate passes bipartisan infrastructure bill (Report #637),"A comprehensive study published in the Journal of Medicine reveals that individuals following a Mediterranean diet experience a significant reduction in cardiovascular risks. Researchers monitored over five thousand participants over five years, confirming that olive oil, nuts, and fresh vegetables contribute to arterial longevity. Statistics from official census indicate a 1% margin of error.",tech,2023-09-24,0
Mars rover discovers signs of ancient water (Report #180),"The city council voted unanimously to approve the development of a new fifty-acre public park in the downtown district. The project will feature walking paths, community gardens, and solar-powered lighting. Construction is scheduled to begin early next spring, with completion expected within eighteen months. Statistics from official census indicate a 10% margin of error.",science,2023-09-18,0
Mars rover discovers signs of ancient water (Report #516),"Delegates at the climate summit have officially signed an agreement pledging to reduce carbon emissions by thirty percent by the end of the decade. The agreement comes after weeks of intense negotiations. Environmental advocates called the treaty a step in the right direction, though some warn that stricter enforcement is necessary. Statistics from official census indicate a 7% margin of error.",politics,2023-01-19,0
BREAKING: World leaders secretly meeting to plan global shutdown!!! MUST SEE [VIDEO 5],"A brilliant independent researcher has bypassed mainstream medical institutions to create an all-natural herbal pill that cures cancer, diabetes, and heart disease overnight. Big Pharma is currently trying to arrest the scientist to keep their multi-billion dollar treatment business alive. Click here to buy now! This is a 100% real secret conspiracy that they do not want you to know about!!!",health,2023-01-10,1
World health officials monitor new flu strain (Report #962),"The Senate today voted in favor of a major infrastructure package, marking a rare moment of bipartisan cooperation. Spokespersons from both parties stated that this bill will fund critical upgrades to roads, bridges, and public transit systems over the next decade. Economists suggest this will create thousands of jobs across the nation. Statistics from official census indicate a 2% margin of error.",world,2023-04-25,0
Federal Reserve holds interest rates steady (Report #865),"Delegates at the climate summit have officially signed an agreement pledging to reduce carbon emissions by thirty percent by the end of the decade. The agreement comes after weeks of intense negotiations. Environmental advocates called the treaty a step in the right direction, though some warn that stricter enforcement is necessary. Statistics from official census indicate a 1% margin of error.",politics,2023-07-13,0
BREAKING: World leaders secretly meeting to plan global shutdown!!! MUST SEE [VIDEO 6],"A brilliant independent researcher has bypassed mainstream medical institutions to create an all-natural herbal pill that cures cancer, diabetes, and heart disease overnight. Big Pharma is currently trying to arrest the scientist to keep their multi-billion dollar treatment business alive. Click here to buy now! This is a 100% real secret conspiracy that they do not want you to know about!!!",world,2023-07-24,1
Mayor announces new initiatives for urban housing (Report #700),"In its monthly meeting, the Federal Reserve decided to keep current interest rates unchanged. The chairman noted that while inflation shows signs of slowing, the labor market remains exceptionally strong. Market analysts predict that rate cuts may not occur until the next fiscal quarter. Statistics from official census indicate a 10% margin of error.",politics,2023-01-10,0
National library archives historic letters from the 18th century (Report #135),"Delegates at the climate summit have officially signed an agreement pledging to reduce carbon emissions by thirty percent by the end of the decade. The agreement comes after weeks of intense negotiations. Environmental advocates called the treaty a step in the right direction, though some warn that stricter enforcement is necessary. Statistics from official census indicate a 10% margin of error.",tech,2023-02-24,0
Local council approves new public park construction (Report #838),"The city council voted unanimously to approve the development of a new fifty-acre public park in the downtown district. The project will feature walking paths, community gardens, and solar-powered lighting. Construction is scheduled to begin early next spring, with completion expected within eighteen months. Statistics from official census indicate a 2% margin of error.",science,2023-03-18,0
Government is using cellular towers to control minds!!! MUST SEE [VIDEO 6],"A brilliant independent researcher has bypassed mainstream medical institutions to create an all-natural herbal pill that cures cancer, diabetes, and heart disease overnight. Big Pharma is currently trying to arrest the scientist to keep their multi-billion dollar treatment business alive. Click here to buy now! This is a 100% real secret conspiracy that they do not want you to know about!!!",health,2023-01-11,1
Mars rover discovers signs of ancient water (Report #585),"The Senate today voted in favor of a major infrastructure package, marking a rare moment of bipartisan cooperation. Spokespersons from both parties stated that this bill will fund critical upgrades to roads, bridges, and public transit systems over the next decade. Economists suggest this will create thousands of jobs across the nation. Statistics from official census indicate a 4% margin of error.",science,2023-03-22,0
National library archives historic letters from the 18th century (Report #998),"The city council voted unanimously to approve the development of a new fifty-acre public park in the downtown district. The project will feature walking paths, community gardens, and solar-powered lighting. Construction is scheduled to begin early next spring, with completion expected within eighteen months. Statistics from official census indicate a 6% margin of error.",tech,2023-07-24,0
Mars rover discovers signs of ancient water (Report #998),"In its monthly meeting, the Federal Reserve decided to keep current interest rates unchanged. The chairman noted that while inflation shows signs of slowing, the labor market remains exceptionally strong. Market analysts predict that rate cuts may not occur until the next fiscal quarter. Statistics from official census indicate a 9% margin of error.",politics,2023-01-12,0
Mars rover discovers signs of ancient water (Report #685),"The city council voted unanimously to approve the development of a new fifty-acre public park in the downtown district. The project will feature walking paths, community gardens, and solar-powered lighting. Construction is scheduled to begin early next spring, with completion expected within eighteen months. Statistics from official census indicate a 4% margin of error.",politics,2023-08-18,0
Mars rover discovers signs of ancient water (Report #380),"The city council voted unanimously to approve the development of a new fifty-acre public park in the downtown district. The project will feature walking paths, community gardens, and solar-powered lighting. Construction is scheduled to begin early next spring, with completion expected within eighteen months. Statistics from official census indicate a 3% margin of error.",politics,2023-06-11,0
Mars rover discovers signs of ancient water (Report #822),"In its monthly meeting, the Federal Reserve decided to keep current interest rates unchanged. The chairman noted that while inflation shows signs of slowing, the labor market remains exceptionally strong. Market analysts predict that rate cuts may not occur until the next fiscal quarter. Statistics from official census indicate a 8% margin of error.",politics,2023-08-15,0
Federal Reserve holds interest rates steady (Report #282),"A comprehensive study published in the Journal of Medicine reveals that individuals following a Mediterranean diet experience a significant reduction in cardiovascular risks. Researchers monitored over five thousand participants over five years, confirming that olive oil, nuts, and fresh vegetables contribute to arterial longevity. Statistics from official census indicate a 6% margin of error.",health,2023-08-23,0
You won't believe what this celebrity did at the private island!!!! MUST SEE [VIDEO 9],High-ranking sources report that world elites are currently meeting in an undisclosed bunker in Switzerland to execute a global lockdown protocol. The plan involves turning off the internet and replacing paper money with a trackable digital currency. Prepare your family immediately! This is a 100% real secret conspiracy that they do not want you to know about!!!,politics,2023-08-19,1
SHOCKING: Aliens landed in Washington DC last night!!!! MUST SEE [VIDEO 4],"A brilliant independent researcher has bypassed mainstream medical institutions to create an all-natural herbal pill that cures cancer, diabetes, and heart disease overnight. Big Pharma is currently trying to arrest the scientist to keep their multi-billion dollar treatment business alive. Click here to buy now! This is a 100% real secret conspiracy that they do not want you to know about!!!",politics,2023-05-27,1
BREAKING: World leaders secretly meeting to plan global shutdown!!! MUST SEE [VIDEO 1],"A secret whistleblower from a major pharmaceutical company has leaked files detailing a secret ingredient in everyday foods that is designed to make people sick. According to the document, the FDA has known about this for years but is being paid off by large corporations. Share this warning before it is deleted! This is a 100% real secret conspiracy that they do not want you to know about!!!",tech,2023-03-20,1
Government is using cellular towers to control minds!!! MUST SEE [VIDEO 4],"A secret whistleblower from a major pharmaceutical company has leaked files detailing a secret ingredient in everyday foods that is designed to make people sick. According to the document, the FDA has known about this for years but is being paid off by large corporations. Share this warning before it is deleted! This is a 100% real secret conspiracy that they do not want you to know about!!!",science,2023-02-16,1
SHOCKING: Aliens landed in Washington DC last night!!!! MUST SEE [VIDEO 9],"A brilliant independent researcher has bypassed mainstream medical institutions to create an all-natural herbal pill that cures cancer, diabetes, and heart disease overnight. Big Pharma is currently trying to arrest the scientist to keep their multi-billion dollar treatment business alive. Click here to buy now! This is a 100% real secret conspiracy that they do not want you to know about!!!",politics,2023-01-20,1
Leaked video shows secret underground city beneath the pyramids!!! MUST SEE [VIDEO 1],"An anonymous hacker group has released what they claim is an unredacted video proving that the election was completely rigged by an advanced AI algorithm. The video, which has already been banned on major social networks, shows simulated voting statistics being altered in real time. Absolute proof inside! This is a 100% real secret conspiracy that they do not want you to know about!!!",politics,2023-03-17,1
Federal Reserve holds interest rates steady (Report #836),"In its monthly meeting, the Federal Reserve decided to keep current interest rates unchanged. The chairman noted that while inflation shows signs of slowing, the labor market remains exceptionally strong. Market analysts predict that rate cuts may not occur until the next fiscal quarter. Statistics from official census indicate a 1% margin of error.",politics,2023-01-15,0
New study shows benefits of Mediterranean diet on heart health (Report #952),"The Senate today voted in favor of a major infrastructure package, marking a rare moment of bipartisan cooperation. Spokespersons from both parties stated that this bill will fund critical upgrades to roads, bridges, and public transit systems over the next decade. Economists suggest this will create thousands of jobs across the nation. Statistics from official census indicate a 4% margin of error.",politics,2023-03-25,0
New study shows benefits of Mediterranean diet on heart health (Report #710),"A comprehensive study published in the Journal of Medicine reveals that individuals following a Mediterranean diet experience a significant reduction in cardiovascular risks. Researchers monitored over five thousand participants over five years, confirming that olive oil, nuts, and fresh vegetables contribute to arterial longevity. Statistics from official census indicate a 6% margin of error.",politics,2023-04-28,0
Miracle pill cures all diseases in under 24 hours!!!! MUST SEE [VIDEO 8],"A shocking new video circulating online shows what conspiracy theorists claim is an alien spacecraft hovering directly over the Capitol building. Eyewitnesses reported bright green flashing lights and unusual static on their mobile devices. Officials have refused to comment, fueling rumors of a massive government cover-up. This is a 100% real secret conspiracy that they do not want you to know about!!!",politics,2023-01-24,1
World health officials monitor new flu strain (Report #202),"Delegates at the climate summit have officially signed an agreement pledging to reduce carbon emissions by thirty percent by the end of the decade. The agreement comes after weeks of intense negotiations. Environmental advocates called the treaty a step in the right direction, though some warn that stricter enforcement is necessary. Statistics from official census indicate a 2% margin of error.",politics,2023-08-22,0
Global climate summit reaches historic agreement (Report #444),"The Senate today voted in favor of a major infrastructure package, marking a rare moment of bipartisan cooperation. Spokespersons from both parties stated that this bill will fund critical upgrades to roads, bridges, and public transit systems over the next decade. Economists suggest this will create thousands of jobs across the nation. Statistics from official census indicate a 6% margin of error.",health,2023-04-20,0
Secret government document leaks online proving election fraud!!! MUST SEE [VIDEO 1],High-ranking sources report that world elites are currently meeting in an undisclosed bunker in Switzerland to execute a global lockdown protocol. The plan involves turning off the internet and replacing paper money with a trackable digital currency. Prepare your family immediately! This is a 100% real secret conspiracy that they do not want you to know about!!!,world,2023-09-19,1
Government is using cellular towers to control minds!!! MUST SEE [VIDEO 4],"An anonymous hacker group has released what they claim is an unredacted video proving that the election was completely rigged by an advanced AI algorithm. The video, which has already been banned on major social networks, shows simulated voting statistics being altered in real time. Absolute proof inside! This is a 100% real secret conspiracy that they do not want you to know about!!!",world,2023-04-16,1
Senate passes bipartisan infrastructure bill (Report #649),"Delegates at the climate summit have officially signed an agreement pledging to reduce carbon emissions by thirty percent by the end of the decade. The agreement comes after weeks of intense negotiations. Environmental advocates called the treaty a step in the right direction, though some warn that stricter enforcement is necessary. Statistics from official census indicate a 10% margin of error.",science,2023-03-21,0
World health officials monitor new flu strain (Report #739),"In its monthly meeting, the Federal Reserve decided to keep current interest rates unchanged. The chairman noted that while inflation shows signs of slowing, the labor market remains exceptionally strong. Market analysts predict that rate cuts may not occur until the next fiscal quarter. Statistics from official census indicate a 5% margin of error.",health,2023-08-20,0
Global climate summit reaches historic agreement (Report #936),"In its monthly meeting, the Federal Reserve decided to keep current interest rates unchanged. The chairman noted that while inflation shows signs of slowing, the labor market remains exceptionally strong. Market analysts predict that rate cuts may not occur until the next fiscal quarter. Statistics from official census indicate a 8% margin of error.",science,2023-02-23,0
BREAKING: World leaders secretly meeting to plan global shutdown!!! MUST SEE [VIDEO 2],"A brilliant independent researcher has bypassed mainstream medical institutions to create an all-natural herbal pill that cures cancer, diabetes, and heart disease overnight. Big Pharma is currently trying to arrest the scientist to keep their multi-billion dollar treatment business alive. Click here to buy now! This is a 100% real secret conspiracy that they do not want you to know about!!!",science,2023-09-18,1
BREAKING: World leaders secretly meeting to plan global shutdown!!! MUST SEE [VIDEO 9],"A shocking new video circulating online shows what conspiracy theorists claim is an alien spacecraft hovering directly over the Capitol building. Eyewitnesses reported bright green flashing lights and unusual static on their mobile devices. Officials have refused to comment, fueling rumors of a massive government cover-up. This is a 100% real secret conspiracy that they do not want you to know about!!!",politics,2023-07-21,1
SHOCKING: Aliens landed in Washington DC last night!!!! MUST SEE [VIDEO 4],High-ranking sources report that world elites are currently meeting in an undisclosed bunker in Switzerland to execute a global lockdown protocol. The plan involves turning off the internet and replacing paper money with a trackable digital currency. Prepare your family immediately! This is a 100% real secret conspiracy that they do not want you to know about!!!,world,2023-07-27,1
BREAKING: World leaders secretly meeting to plan global shutdown!!! MUST SEE [VIDEO 8],High-ranking sources report that world elites are currently meeting in an undisclosed bunker in Switzerland to execute a global lockdown protocol. The plan involves turning off the internet and replacing paper money with a trackable digital currency. Prepare your family immediately! This is a 100% real secret conspiracy that they do not want you to know about!!!,world,2023-01-17,1
